trajectory_ID	taxon	abundance	time	type
5	Bacteroides-vulgatus	701.9758	41.5	simulation
5	Bacteroides-vulgatus	703.9527	41.6	simulation
5	Bacteroides-vulgatus	705.9351	41.7	simulation
5	Bacteroides-vulgatus	707.9231	41.8	simulation
5	Bacteroides-vulgatus	709.9167	41.9	simulation
5	Bacteroides-vulgatus	711.9159	42	simulation
5	Bacteroides-vulgatus	713.9207	42.1	simulation
5	Bacteroides-vulgatus	715.9312	42.2	simulation
5	Bacteroides-vulgatus	717.9473	42.3	simulation
5	Bacteroides-vulgatus	719.9691	42.4	simulation
5	Bacteroides-vulgatus	721.9966	42.5	simulation
5	Bacteroides-vulgatus	724.0298	42.6	simulation
5	Bacteroides-vulgatus	726.0688	42.7	simulation
5	Bacteroides-vulgatus	728.1135	42.8	simulation
5	Bacteroides-vulgatus	730.1639	42.9	simulation
5	Bacteroides-vulgatus	732.2202	43	simulation
5	Bacteroides-vulgatus	734.2822	43.1	simulation
5	Bacteroides-vulgatus	736.35	43.2	simulation
5	Bacteroides-vulgatus	738.4237	43.3	simulation
5	Bacteroides-vulgatus	740.5032	43.4	simulation
5	Bacteroides-vulgatus	742.5885	43.5	simulation
5	Bacteroides-vulgatus	744.6797	43.6	simulation
5	Bacteroides-vulgatus	746.7768	43.7	simulation
5	Bacteroides-vulgatus	748.8798	43.8	simulation
5	Bacteroides-vulgatus	750.9887	43.9	simulation
5	Bacteroides-vulgatus	753.1036	44	simulation
5	Bacteroides-vulgatus	755.2244	44.1	simulation
5	Bacteroides-vulgatus	757.3512	44.2	simulation
5	Bacteroides-vulgatus	759.484	44.3	simulation
5	Bacteroides-vulgatus	761.6228	44.4	simulation
5	Bacteroides-vulgatus	763.7676	44.5	simulation
5	Bacteroides-vulgatus	765.9185	44.6	simulation
5	Bacteroides-vulgatus	768.0754	44.7	simulation
5	Bacteroides-vulgatus	770.2384	44.8	simulation
5	Bacteroides-vulgatus	772.4074	44.9	simulation
5	Bacteroides-vulgatus	774.5826	45	simulation
5	Bacteroides-vulgatus	776.7639	45.1	simulation
5	Bacteroides-vulgatus	778.9514	45.2	simulation
5	Bacteroides-vulgatus	781.145	45.3	simulation
5	Bacteroides-vulgatus	783.3448	45.4	simulation
5	Bacteroides-vulgatus	785.5508	45.5	simulation
5	Bacteroides-vulgatus	787.763	45.6	simulation
5	Bacteroides-vulgatus	789.9814	45.7	simulation
5	Bacteroides-vulgatus	792.2061	45.8	simulation
